,alpha,c_label,gamma,R,MaxDD,CDaR
0,1.0,0% CDaR,0.05,0.23576474573718922,0.04999999999999999,0.0
1,1.0,0% CDaR,0.060000000000000005,0.2877580741819329,0.06000000000000005,0.0
2,1.0,0% CDaR,0.07,0.3214132729977786,0.06999999999999998,0.0
3,1.0,0% CDaR,0.08000000000000002,0.33987817982050206,0.08000000000000004,0.0
4,1.0,0% CDaR,0.09000000000000001,0.3508648080918454,0.09000000000000002,0.0
5,1.0,0% CDaR,0.1,0.3581351871235075,0.10000000000000009,0.0
6,1.0,0% CDaR,0.11000000000000001,0.36529600947987406,0.11000000000000015,0.0
7,1.0,0% CDaR,0.12000000000000001,0.3718724044965218,0.1200000000000001,0.0
8,1.0,0% CDaR,0.13,0.3778350518866781,0.13000000000000012,0.0
9,1.0,0% CDaR,0.14,0.3837976992768346,0.14000000000000012,0.0
10,1.0,0% CDaR,0.15000000000000002,0.389760346666991,0.15000000000000013,0.0
11,1.0,0% CDaR,0.16000000000000003,0.39572299405714745,0.1600000000000001,0.0
12,1.0,0% CDaR,0.17000000000000004,0.4016856414473039,0.17000000000000015,0.0
13,1.0,0% CDaR,0.18000000000000005,0.4074313632739437,0.18000000000000016,0.0
14,1.0,0% CDaR,0.19,0.4128964763390404,0.1900000000000001,0.0
15,1.0,0% CDaR,0.2,0.41833437473069573,0.20000000000000012,0.0
16,0.95,5% CDaR,0.05,0.34749704638832307,0.09880243841072633,0.049999999999999996
17,0.95,5% CDaR,0.060000000000000005,0.36296245104449093,0.11251265118585912,0.06000000000000001
18,0.95,5% CDaR,0.07,0.37111888463606957,0.1238631854138898,0.06999999999999998
19,0.95,5% CDaR,0.08000000000000002,0.37754374026824633,0.13452934833525465,0.08000000000000006
20,0.95,5% CDaR,0.09000000000000001,0.38314142982134036,0.14719482194426559,0.09000000000000008
21,0.95,5% CDaR,0.1,0.38823555681370386,0.16121727180104317,0.10000000000000005
22,0.95,5% CDaR,0.11000000000000001,0.39284734552599987,0.1739120036098824,0.11000000000000017
23,0.95,5% CDaR,0.12000000000000001,0.3965462328913425,0.18564600736826692,0.12000000000000004
24,0.95,5% CDaR,0.13,0.3994578984677368,0.196745707966629,0.13000000000000006
25,0.95,5% CDaR,0.14,0.4023559196399069,0.20762613479375852,0.14000000000000007
26,0.95,5% CDaR,0.15000000000000002,0.40523133335405187,0.21834384103433524,0.15000000000000013
27,0.95,5% CDaR,0.16000000000000003,0.40805631637676554,0.22867354666679746,0.16000000000000014
28,0.95,5% CDaR,0.17000000000000004,0.4107752632905213,0.23847852667852887,0.17000000000000018
29,0.95,5% CDaR,0.18000000000000005,0.41343494052699686,0.24806977026234656,0.18000000000000013
30,0.95,5% CDaR,0.19,0.415993660472163,0.2572969448684585,0.19000000000000006
31,0.95,5% CDaR,0.2,0.41848018891730043,0.2662637847798332,0.20000000000000007
32,0.6,40% CDaR,0.05,0.38803749152597306,0.16322860200195272,0.050000000000000044
33,0.6,40% CDaR,0.060000000000000005,0.3971495842572271,0.1888864312735865,0.06000000000000002
34,0.6,40% CDaR,0.07,0.40436632365868264,0.21234908253494283,0.06999999999999992
35,0.6,40% CDaR,0.08000000000000002,0.40993579906550415,0.2334671205155191,0.07999999999999996
36,0.6,40% CDaR,0.09000000000000001,0.4153105230683435,0.25384671057314945,0.08999999999999996
37,0.6,40% CDaR,0.1,0.42052406819076726,0.27361515120113844,0.09999999999999987
38,0.6,40% CDaR,0.11000000000000001,0.42062756157311887,0.2740075718547177,0.10146350467929752
39,0.6,40% CDaR,0.12000000000000001,0.42062756157311887,0.2740075718547177,0.10146350467929752
40,0.6,40% CDaR,0.13,0.42062756157311887,0.2740075718547177,0.10146350467929752
41,0.6,40% CDaR,0.14,0.42062756157311887,0.2740075718547177,0.10146350467929752
42,0.6,40% CDaR,0.15000000000000002,0.42062756157311887,0.2740075718547177,0.10146350467929752
43,0.6,40% CDaR,0.16000000000000003,0.42062756157311887,0.2740075718547177,0.10027247667964982
44,0.6,40% CDaR,0.17000000000000004,0.42062756157311887,0.2740075718547177,0.10027247667964982
45,0.6,40% CDaR,0.18000000000000005,0.42062756157311887,0.2740075718547177,0.10027247667964982
46,0.6,40% CDaR,0.19,0.42062756157311887,0.2740075718547177,0.10027247667964982
47,0.6,40% CDaR,0.2,0.42062756157311887,0.2740075718547177,0.10027247667964982
48,0.0,100% CDaR,0.05,0.42062756157311887,0.2740075718547177,0.04902148364414576
49,0.0,100% CDaR,0.060000000000000005,0.42062756157311887,0.2740075718547177,0.05967055822357023
50,0.0,100% CDaR,0.07,0.42062756157311887,0.2740075718547177,0.05882847128660546
51,0.0,100% CDaR,0.08000000000000002,0.42062756157311887,0.2740075718547177,0.05882847128660546
52,0.0,100% CDaR,0.09000000000000001,0.42062756157311887,0.2740075718547177,0.05882847128660546
53,0.0,100% CDaR,0.1,0.42062756157311887,0.2740075718547177,0.05882847128660546
54,0.0,100% CDaR,0.11000000000000001,0.42062756157311887,0.2740075718547177,0.05882847128660546
55,0.0,100% CDaR,0.12000000000000001,0.42062756157311887,0.2740075718547177,0.05882847128660546
56,0.0,100% CDaR,0.13,0.42062756157311887,0.2740075718547177,0.05882847128660546
57,0.0,100% CDaR,0.14,0.42062756157311887,0.2740075718547177,0.05882847128660546
58,0.0,100% CDaR,0.15000000000000002,0.42062756157311887,0.2740075718547177,0.05882847128660546
59,0.0,100% CDaR,0.16000000000000003,0.42062756157311887,0.2740075718547177,0.05882847128660546
60,0.0,100% CDaR,0.17000000000000004,0.42062756157311887,0.2740075718547177,0.05882847128660546
61,0.0,100% CDaR,0.18000000000000005,0.42062756157311887,0.2740075718547177,0.05882847128660546
62,0.0,100% CDaR,0.19,0.42062756157311887,0.2740075718547177,0.05882847128660546
63,0.0,100% CDaR,0.2,0.42062756157311887,0.2740075718547177,0.05882847128660546
